bestdead,AY,Animal_ID,Herd,Cause_Mort,CausMortAcc,Evidence,Comments,CarcassCon
20160418,2015,S348,Wheeler Ridge,Lion,Probable,"cached, organs intact, rumen missing from cached pile. Lion still in close proximity, fresh lion tracks in snow from night before. Hair plucked.",mortality investigation cut short due to probable lion presence. VHF in field. Recent snow would have masked some sign.,Scavenged
20160416,2015,S148,Convict Creek,Lion,Certain,"rumen intact, hair plucked, drag mark, location, scat found, potential punctures",Died in Wheeler herd unit,Consumed
20160413,2015,S374,Mt. Langley,Unknown,,Animal was missing a hoof at capture in 2015,Hair present around edges of boulder 3m above her but this appears to have blown in b/c there's no hair beneath or w/in the snow.,Scavenged
20160411,2015,S430,Taboose Creek,Lion,Probable,"cached carcass, puncture wind on lower jaw. 3rd rib clipped, large bones cracked, hair pile",Predator evidence limited due to late investigation date. Vicki Davis confirmed suspected cause via photos.,Consumed
20160403,2015,S327,Sawmill Canyon,Lion,Certain,"hair plucked, rumen intact, carcass hidden against steep banks, jaw punctures. Vicki investigated",Collar didn't check in 3/31-4/3. Probably killed 3/31 based on condiiton.,Consumed
20160330,2015,S282,Big Arroyo,Unknown not Predation,Unknown,,Found bed and what looked like bear scat near carcass. Bone marrow too old to rate.,Scavenged
20160313,2015,S333,Mt. Warren,Lion,Certain,"Cached, lion tracks, clipped ribs, punctures/bruising on neck, rumen intact, plucked fur","Carcass very twisted, spinal cord not intact. Many broken bones. Good subcutaneous fat. Probable kill site.",Intact
20160311,2015,S302,Mt. Baxter,Lion,Certain,"Cached, drag marks, lion tracks, rumen intact, plucked fur, lg bones eaten",Did not look at bone marrow. All signs indicative of lion kill.,Scavenged
20160304,2015,S404,Convict Creek,Lion,Probable,"Cached. Clipped ribs, puncture marks on jaw, face, base of skull. Drag mark to cache.","Mandible was frozen, collected tooth not pulled. Long bone frozen.",Consumed
20160212,2015,S392,Mt. Baxter,Unknown,,,only collar and hide were present,Consumed
20160208,2015,S387,Wheeler Ridge,Bobcat,Certain,"many small punctures on neck, bobcat tracks, 2 cache sites, rumen intact, hair plucked, bruising, Vicki investigated.","lamb had been in area without much movement since 2/4/16, but collar did not register mortality. Had not been scavenged, only evidence of species was bobcat. May have been slight drag mark.",Consumed
20160120,2015,S362,Mt. Baxter,Lion,Probable,"150m downhilll drag from highest hair frament, clipped ribs, plucked hair, rumen appears intact, lion tracks",,Consumed
20160119,2015,S349,Cathedral,Lion,Possible,"plucked hair, 2 cache piles hair, drag ~100ft, dried/unconsumed rumen, topography of mort site","no mort notice from GPS (per J. Davis -- obvious plucking with small pieces of skin, size consistent with lion consuming)",Consumed
20160117,2015,S364,Laurel Creek,Lion,Probable,"clipped ribs, cached, hair plucked, bite mark on jawbone",VHF collar still in field. Vicki reviewed photos and suggested possible lion kill. Collected scat of coyote or fox.,Scavenged
20160107,2015,S332,Mt. Warren,Unknown,,nothing left,There was nothing left of carcass. She died on a s teep wind blown slope in small scree.,Consumed
20160101,2015,S144,Wheeler Ridge,Unknown,,"White crumbly scat on hair pile, 1in diameter with seemingly blunt ends although its partially disintegrated.","Collar found and collected by Craig Johnson.VHF collar has abrasion marks and epoxy, is damaged, cracked at one side (photos taken). Could indicate fall, waterfall cliff behind hairpile. However collar is inactive and damage may have been unrelated.",Scavenged
20151230,2015,S262,Sawmill Canyon,Lion,Certain,"Fur plucked, rumen intact, bite marks on nec, lion tracks all around cached carcass","very rocky area, drag marks not visible",Scavenged
20151218,2015,S329,Mt. Warren,Lion,Probable,"cached carcass, rumen intact, fur plucked","new snow covered possible signs of tracks, dragmarks. 2 miles from the lion kill of S65 that happened in Nov.",Consumed
20151208,2015,S316,Bubbs Creek,Unknown,,,,Consumed
20151126,2015,S311,Laurel Creek,Unknown,,,S311 was a Laurel ram. He spent the previous summer in the Langley herd. During the fall rut he moved to Williamson where he died.,Consumed
20151112,2015,S384,Wheeler Ridge,Physical Injury,Probable,"Ram possibly died in rutting accident, judging from the hoof prints in snow. There was swelling on the rt side of face.","I believe ram took a blow to the side of the ehad and broke his neck. Swelling obvious on one side of face, otherwise healthy, good fat and marrow.",Intact
20151110,2015,S65,Mt. Warren,Lion,Certain,"We followed a drag mark to the cache site. Lion tracks everywhere. Carcass was consistent with lion kill, rumen intact, fur plucked, clear bite marks on neck, ribs clipped, etc.",,Scavenged
20151019,2015,S380,Laurel Creek,Unknown,,,"totally consumed, only collars and hair",Consumed
20150801,2015,S72,Wheeler Ridge,Lion,Probable,"cached carcass (brush was scraped over), large canine size puncture wound in spinal column, clipped ribs, J Osterguard called it a lion kill. Punctures and scratches on skull consistent w/lion","Carcass found by Steve Yeager. Collar retrieved, no ear tag found. Carcass had strong odor, was consumed and cache. Timing of death unknown. AF & VD investigated 2/10",Consumed
20150704,2015,S304,Mt. Baxter,Unknown,,No preditor sign,"Pulled tooth, no long bone",Consumed
20150701,2015,S213,Mt. Baxter,Unknown,,mort cause unknown,"heard on mort 3/5/15, but heard live 6/15/15, could be 120-210 days since death.",Consumed
20150504,2015,S342,Mt. Langley,Lion,Certain,"Lion tracks and scat found in immediate area, carcass cached under a pine, hemorraging found on pieces of hide, long bones cracked open, hair plucked","We found a pile of lamb hair near her carcass (and she was seen with a new lamb 1 wk before). One hoof had sever absess, and she was observed with an inured leg 2 mos earlier (cap crew said it was broken). Bone marrow had color and texture ratings of 0.",Consumed
20150501,2015,S230,Sawmill Canyon,Lion,Certain,"lion tracks, drag mark, buried lg bones, broken punctures in nose, canine hole in lower jaw",bear had scavenged,Consumed
20150422,2014,S220,Mt. Langley,Lion,Probable,"100ft downhill drag w/hair and blood, cached in bushes, head partially buried , rested carcass exposed, rumen not intact but not consumed.","puncture hole in facial tissue, recovered old Northstar collar.",Consumed
20150415,2014,S337,Convict Creek,Lion,Certain,"Lion seen on kill. Plucked fur, rumen intact",I did not collect any samples due to the presence of the lion 200ft above me. I grabbed the collars and left.,Scavenged
20150412,2014,S359,Cathedral,Capture,Probable,"Very little movement post capture. Slope above carcass no sufficient to cause a fatal fall. Carcass scavenged by bear: bear scat and tracks next to carcass. No sign of lions or coyotes, proximate cause of death unknown.",,Scavenged
20150320,2014,S272,Olancha Peak,Unknown Poss Predation,Probable,"Cached under pinyon, lots of bear scat by carcass. Dark watery meat scat w/grass in it a few ft away under an oak. May have been lion kill, scavenged by bear.",,Consumed
20150301,2014,S235,Wheeler Ridge,Unknown,,Proably fall off cliff or rock fall as collar was found buried in a patch of snow under cliffs. Carcass must have been scavenged since nothing but hair was found.,,Consumed
20150301,2014,S341,Mt. Langley,Lion,Certain,"Lion tracks, carcass buried, lg bones eaten, hair plucked and in a pile. Lion scat buried at cache site. Lion tracks, drag to kill site.","Femur bone barrow Riney, Color rating (1), Texture (2)",Consumed
20150206,2014,S318,Bubbs Creek,Other,Certain,"lying against rock, fully intact","Lump on jawbone. No fat, no broken bones, no bruising, lungs look fine. Very thin. Vet X-rayed jaw bone and found a bone infection, causing teeth to be loose, and bone was spongy with infection. Bone infection is the believed cause of death.",Intact
20150126,2014,S185,Mt. Warren,Lion,Certain,"Fresh lion tracks within 5ft of carcass. Hair in separate piles, rumen intact, urinated on. Carcass partially cached under manzanita, possible claw marks on nose, some ribs clipped, some jagged, carcass in a neat pile.",Photos: M:\Photos_Bighorn\Mortality\2015\S185_20150130,Consumed
20141217,2014,S168,Bubbs Creek,,,,Censor--Animal not obs since 11/17/14. CPM 10/14/16,
20141205,2014,S206,Olancha Peak,,,,"Censor--Animal not seen or heard since 9/16/2014. GPS collar shows movement appears to stop 12/5/2014. CPM 7/15/16. Age is unknown. She was called 3 years old at all of her captures, so must have been at least 6 when she died.",
20141117,2014,S115,Mt. Williamson,,,,Censor--Animal not obs since 10/17/14. CPM 10/14/16,
20141108,2014,S113,Mt. Williamson,,,,Censor--Animal not obs since 10/8/14. CPM 10/14/16,
20141104,2014,S233,Big Arroyo,Unknown,,,"died early winter, not recovered until the following summer",Consumed
20141102,2014,S273,Olancha Peak,Lion,Probable,"Carcass in thick willow, laying in small spring fed spring, marrow very poor condition (scores of 0). Rumen contents not touched, stomach gone, cached in willow thicket.","Marrow scores, color: 0, texture: 0. Animal seen in the months prior appeared to be in poor condition. However, animal was cached and eaten similar to lionkill, according to Becky Pierce",Consumed
20141027,2014,S346,Mt. Warren,Capture,Certain,Alive when captured and slung under helicopter; DOA at basecamp.,,Intact
20141021,2014,S231,Sawmill Canyon,Capture,Certain,broken neck,,Intact
20141020,2014,S313,Sawmill Canyon,Capture,Probable,"He died immediately after being released at capture, no unusual circumstances during capture/processing.",Probable capture mortality,Consumed
20141009,2014,S112,Wheeler Ridge,,,,Censor--Animal not obs since 9/9/14. CPM 10/17/16,
20141002,2014,S169,Bubbs Creek,,,,Censor--Animal not obs since 9/2/14. CPM 10/14/16,
20140926,2014,S179,Mt. Langley,Unknown,,,Ram had been dead more than 2 weeks and cause of death was hard to determine. No signs of lion and terrain was benign.,Consumed
20140913,2014,S126,Sawmill Canyon,,,,Censor--Animal not obs since 8/13/14. CPM 10/17/16,
20140904,2014,S130,Sawmill Canyon,,,,Censor--Animal not obs since 8/4/14. CPM 10/17/16,
20140901,2014,S155,Mt. Warren,,,,Censor--Animal not obs since 8/1/14. CPM 10/14/16,
20140722,2014,S189,Mt. Langley,Physical Injury,Certain,"At base of cliff, horns significantly cracked","Scavenged by coyote and eagle, but death appeared to be caused by fall and head trauma",Scavenged
20140720,2014,S196,Olancha Peak,Unknown,,"Articulated skeleton in rock schute, no evidence of a predator, fall, or rockfall",GPS point cluster indicated approximate date of death.,Consumed
20140615,2014,S135,Mt. Williamson,Rock Fall,Certain,animal was buried in rockfall,I could barely reach into the rocks to retrieve collar. Samples could not be collected.,Intact
20140613,2014,S142,Wheeler Ridge,,,,Censor--Animal not obs since 5/13/14. CPM 10/17/16,
20140524,2014,S150,Wheeler Ridge,,,,Censor--Animal not obs since 4/24/14. CPM 10/17/16,
20140422,2013,S245,Wheeler Ridge,,,,Censor--Animal not obs since 3/22/14. CPM 10/17/16,
20140415,2013,S281,Big Arroyo,Unknown,,,,Consumed
20140413,2013,S63,Wheeler Ridge,,,,Censor--Animal not obs since 3/13/14. CPM 10/17/16,
20140405,2013,S261,Sawmill Canyon,Unknown,,"Carcass cached in brush, plucked. Lg bones had been eaten. No sign of bear or coyote. Drag marks through brush",,Consumed
20140325,2013,S227,Bubbs Creek,,,,Censor--Animal not obs since 2/25/14. CPM 10/14/16,
20140219,2013,S94,Wheeler Ridge,Unknown,,Bloody drag marks across rocks. She had been cached and plucked. Lg bones had been eaten. Head and lower legs an fur in a neat pile.,Drag marks uncertain--blood on rocks for 20m,Consumed
20140124,2013,S35,Wheeler Ridge,Unknown not Predation,Unknown,Ram has no fat reserves but a full rumen. May have fallen or died of malnutrition/old age.,"No fat on kidney or rump. Lean but full rumen. Lungs/heart look healthy. Covered in large ticks. Collected samples of lung tissue. Riney color and texture rating of bone marrow is 0 (gelatinous, red = poor).",Intact
20140121,2013,S201,Sawmill Canyon,Lion,Probable,"Carcass cached under leaves/sticks. Rumen contents in pile. Drag mark, possible lion tracks nearby",,Consumed
20140105,2013,S86,Mt. Langley,,,,Censor--Animal not obs since 12/5/13. CPM 12/1/15,
20131225,2013,S225,Bubbs Creek,Unknown,,"some cliffs above, steep terrain, would be icy in winter",did not find VHF collar,Consumed
20131213,2013,S176,Mt. Langley,Physical Injury,Certain,"Her tracks went to the edge of a small cliff, then an obvious slip on the ice, and off the cliff.",,Intact
20131202,2013,S208,Mt. Langley,Unknown,,,,Consumed
20131119,2013,S38,Mt. Langley,,,,Censor--Animal not obs since 10/19/13. CPM 11/21/14,
20131105,2013,S224,Mt. Baxter,Unknown,,,Animal dead at least 30 days.,Consumed
20131004,2013,S44,Mt. Warren,,,,Censor--Animal not obs since 9/4/13. CPM 11/21/14,
20130811,2013,S68,Mt. Gibbs,,,,Censor--Animal not obs since 7/11/13. CPM 11/21/14,
20130404,2012,S237,Mt. Warren,Unknown,,none,,Consumed
20130402,2012,S156,Mt. Warren,Unknown,,,unable to find VHF under snow,Consumed
20130326,2012,S212,Mt. Langley,Capture,Certain,,"Necropsy at Base Camp (B. Gonzales, T Stephenson) - animal did not appear stressed at capture but likely moved large distance during the day",Intact
20130314,2012,S45,Wheeler Ridge,Unknown,,"No evidence of predation, possible coyote scat",Reported by climber. Carcass 30-90 days old. Photos on M drive.,Consumed
20130312,2012,S216,Mt. Warren,Lion,Certain,"Tracks, scat on site, cached remains, rumen separate from carcass, carcass dragged to cache site.",Photos on M drive. S216 heard live signal 3/11/13 from airplane within 1/4mi of S146 mort site.,Consumed
20130311,2012,S146,Mt. Warren,Lion,Certain,"dragged downslope at least 100m, cached and partially buried, lion scat at site",photos on M drive under mortality,Consumed
20130306,2012,S187,Mt. Warren,Unknown,,only hair and a few cracked bones were left. The remains were buried under snow (last storm 3/9). No tracks.,Mort date is a guess.,Consumed
20130301,2012,S114,Mt. Williamson,,,,Censor--Animal not obs since 2/1/13. CPM 10/14/16,
20130225,2012,S79,Mt. Gibbs,Unknown,,,Photos: M:\Photos_Bighorn\Mortality\2013\S78_2013_03_05,Consumed
20130202,2012,S37,Mt. Langley,Physical Injury,Certain,,,Intact
20130117,2012,S78,Mt. Gibbs,Unknown,,,Live signal heard from ground on 1/18/2013. Photos: M:\Photos_Bighorn\Mortality\2013\S78_2013_02_18,Consumed
20130112,2012,S238,Mt. Warren,Malnutrition,Probable,"She was captured on 10/27/12, and due to a low body score on that date and bone marrow condition, it was determined that she died of malnutrition","She died high on Mount Exclesior. She was in poor shape in the fall, and died during very cold weather.",Scavenged
20130110,2012,S110,Sawmill Canyon,Lion,Certain,"lion track, been buried, hair plucked, rumen intact, large bones eaten, large canine punctures in skull",,Consumed
20130103,2012,S88,Mt. Warren,Physical Injury,Certain,"No evidence of rock fall or snow avalanche. No evidence of predation. Pelvis and neck broken with head bent back along spine, suggesting traumatic fall in icy conditions. Bloodied rocks where she hit her head.","GPS collar may have been too tight given the exposed, bruised skin on the underside of her neck when the collar was removed.",Intact
20121206,2012,S256,Sawmill Canyon,Coyote,Certain,"throat damage, no lg bones broken, multiple bite wounds and hemorrhaging, mandible fractured by bite","Located from satellite collar on sheep. Becky, Tom examined at office and concurred cause.",Scavenged
20121130,2012,S267,Mt. Langley,,,,Censor - collar found by hiker Matthew Webb (760-876-5218) 9/23/13. No remains found. CPM,
20121006,2012,S129,Sawmill Canyon,,,,Censor--Animal not obs since 9/6/12. CPM 11/21/14,
20120928,2012,S195,Bubbs Creek,Unknown,,,"Animal not found. Both collars went on mort and then died, never retrieved.",
20120915,2012,S69,Mt. Warren,,,,Censor--Animal not obs since 8/15/12. CPM 11/21/14,
20120805,2012,S105,Mt. Warren,,,,Censor--Animal not obs since 7/5/12. CPM 11/21/14,
20120601,2012,S50,Mt. Baxter,,,,Censor - not seen or heard since May 2012 - Censored CPM 1/13/2014,
20120322,2011,S188,Mt. Langley,Unknown Poss Predation,Unknown,,"Due to the scavenged nature of the carcass, it's very hard to determine a cause of death",Scavenged
